죄종별(1),죄종별(2),2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016
죄종별(1),죄종별(2),계,00:00~02:59,03:00~05:59,06:00~08:59,09:00~11:59,12:00~14:59,15:00~17:59,18:00~20:59,21:00~23:59,미상,계,00:00~02:59,03:00~05:59,06:00~08:59,09:00~11:59,12:00~14:59,15:00~17:59,18:00~20:59,21:00~23:59,미상,계,00:00~02:59,03:00~05:59,06:00~08:59,09:00~11:59,12:00~14:59,15:00~17:59,18:00~20:59,21:00~23:59,미상,계,00:00~02:59,03:00~05:59,06:00~08:59,09:00~11:59,12:00~14:59,15:00~17:59,18:00~20:59,21:00~23:59,미상,계,00:00~02:59,03:00~05:59,06:00~08:59,09:00~11:59,12:00~14:59,15:00~17:59,18:00~20:59,21:00~23:59,미상
특별경제범죄,소계,78155,2573,1858,1549,10887,6360,5225,4828,5988,38887,71019,2545,2068,1832,9144,5895,5155,4881,6075,33424,72908,2768,2231,2024,10083,6652,6028,5702,7676,29744,86329,2830,2176,1841,10190,7687,7436,7112,10380,36677,65025,2527,1845,1875,8422,6524,6044,5757,8043,23988
마약범죄,소계,4268,110,87,53,261,292,322,477,439,2227,4598,148,106,66,325,320,460,511,466,2196,4825,121,97,44,312,357,484,548,453,2409,6411,178,135,92,476,578,572,611,548,3221,7329,244,184,145,591,641,837,829,732,3126
보건범죄,소계,16800,639,369,112,2301,1973,1178,900,1882,7446,20383,636,378,154,4084,2090,1752,1208,1967,8114,14657,480,268,146,1417,1090,1333,1020,1735,7168,14602,530,299,134,1905,1163,1518,990,1693,6370,14662,506,270,148,1905,990,1867,980,1570,6426
환경범죄,소계,3128,24,29,122,424,824,358,69,67,1211,4135,19,24,96,1623,490,369,66,70,1378,2536,17,26,83,404,277,209,63,57,1400,2955,29,32,80,747,282,305,79,64,1337,4349,21,42,490,914,501,463,62,66,1790
교통범죄,소계,542784,42507,31839,41865,44621,47385,59278,75466,157988,41835,573453,41457,31388,42961,49310,50490,62000,76543,173041,46263,573493,41939,32441,44610,53045,54231,65612,79167,157320,45128,596665,42233,35125,49475,59046,60036,73760,83198,152143,41649,600401,40532,37506,54513,66856,63468,76556,84797,138810,37363
노동범죄,소계,1391,30,21,33,245,74,45,73,157,713,1721,29,14,21,560,59,41,86,166,745,1308,17,5,13,498,94,61,55,111,454,1145,22,10,3,222,43,21,25,89,710,2457,14,11,9,620,73,29,35,87,1579
안보범죄,소계,109,5,2,3,13,8,10,5,9,54,135,1,1,3,15,14,12,15,4,70,84,1,2,1,15,5,6,2,10,42,121,4,5,7,14,16,8,9,3,55,81,3,2,4,15,6,8,7,7,29
선거범죄,소계,1262,11,14,49,225,142,124,86,38,573,398,5,9,23,72,51,53,33,16,136,1874,14,15,82,375,191,132,151,69,845,760,1,1,24,148,56,38,32,12,448,1018,10,15,42,168,88,88,92,43,472
병역범죄,소계,23143,11,3,44,4085,775,106,108,28,17983,26173,16,2,36,4473,822,167,113,26,20518,21549,10,1,42,3941,777,88,78,39,16573,18726,25,-,32,3017,720,119,59,30,14724,16651,6,-,23,2534,610,89,80,35,13274
기타범죄,소계,174267,10288,7909,7605,23482,15235,15383,13858,21248,59259,188956,9820,11610,8205,31332,15852,14468,13865,22317,61487,180526,10233,7587,5772,24224,13906,14182,14135,23364,67123,216197,10602,8094,9178,29494,18949,18350,16976,24489,80065,260539,12672,11835,11130,42558,24120,26776,24349,31567,75532
