죄종별.2.,X2012.1,X2012.2,X2012.3,X2012.4,X2012.5,X2012.6,X2012.7,X2012.8,X2012.9,X2012.10,X2012.11,X2012.12,X2012.13,X2012.14,X2012.15,X2012.16,X2012.17,X2012.18,X2012.19,X2012.20,X2012.21,X2012.22,X2012.23,X2012.24,X2012.25,X2012.26,X2012.27,X2012.28,X2012.29,X2012.30,X2012.31,X2012.32,X2012.33,X2012.34,X2012.35,X2012.36,X2012.37,X2012.38,X2012.39,X2012.40,X2012.41,X2012.42,X2012.43,X2012.44,X2012.45,X2012.46,X2012.47,X2012.48,X2012.49,X2012.50,X2012.51,X2012.52,X2012.53,X2013.1,X2013.2,X2013.3,X2013.4,X2013.5,X2013.6,X2013.7,X2013.8,X2013.9,X2013.10,X2013.11,X2013.12,X2013.13,X2013.14,X2013.15,X2013.16,X2013.17,X2013.18,X2013.19,X2013.20,X2013.21,X2013.22,X2013.23,X2013.24,X2013.25,X2013.26,X2013.27,X2013.28,X2013.29,X2013.30,X2013.31,X2013.32,X2013.33,X2013.34,X2013.35,X2013.36,X2013.37,X2013.38,X2013.39,X2013.40,X2013.41,X2013.42,X2013.43,X2013.44,X2013.45,X2013.46,X2013.47,X2013.48,X2013.49,X2013.50,X2013.51,X2013.52,X2014.1,X2014.2,X2014.3,X2014.4,X2014.5,X2014.6,X2014.7,X2014.8,X2014.9,X2014.10,X2014.11,X2014.12,X2014.13,X2014.14,X2014.15,X2014.16,X2014.17,X2014.18,X2014.19,X2014.20,X2014.21,X2014.22,X2014.23,X2014.24,X2014.25,X2014.26,X2014.27,X2014.28,X2014.29,X2014.30,X2014.31,X2014.32,X2014.33,X2014.34,X2014.35,X2014.36,X2014.37,X2014.38,X2014.39,X2014.40,X2014.41,X2014.42,X2014.43,X2014.44,X2014.45,X2014.46,X2014.47,X2014.48,X2014.49,X2014.50,X2014.51,X2014.52,X2015.1,X2015.2,X2015.3,X2015.4,X2015.5,X2015.6,X2015.7,X2015.8,X2015.9,X2015.10,X2015.11,X2015.12,X2015.13,X2015.14,X2015.15,X2015.16,X2015.17,X2015.18,X2015.19,X2015.20,X2015.21,X2015.22,X2015.23,X2015.24,X2015.25,X2015.26,X2015.27,X2015.28,X2015.29,X2015.30,X2015.31,X2015.32,X2015.33,X2015.34,X2015.35,X2015.36,X2015.37,X2015.38,X2015.39,X2015.40,X2015.41,X2015.42,X2015.43,X2015.44,X2015.45,X2015.46,X2015.47,X2015.48,X2015.49,X2015.50,X2015.51,X2015.52,X2015.53,X2015.54,X2015.55,X2015.56,X2015.57,X2015.58,X2015.59,X2015.60,X2015.61,X2015.62,X2015.63,X2015.64,X2015.65,X2015.66,X2015.67,X2015.68,X2015.69,X2015.70,X2015.71,X2015.72,X2015.73,X2015.74,X2015.75,X2015.76,X2015.77,X2015.78,X2015.79,X2015.80,X2015.81,X2015.82,X2015.83,X2015.84,X2015.85,X2015.86,X2016.1,X2016.2,X2016.3,X2016.4,X2016.5,X2016.6,X2016.7,X2016.8,X2016.9,X2016.10,X2016.11,X2016.12,X2016.13,X2016.14,X2016.15,X2016.16,X2016.17,X2016.18,X2016.19,X2016.20,X2016.21,X2016.22,X2016.23,X2016.24,X2016.25,X2016.26,X2016.27,X2016.28,X2016.29,X2016.30,X2016.31,X2016.32,X2016.33,X2016.34,X2016.35,X2016.36,X2016.37,X2016.38,X2016.39,X2016.40,X2016.41,X2016.42,X2016.43,X2016.44,X2016.45,X2016.46,X2016.47,X2016.48,X2016.49,X2016.50,X2016.51,X2016.52,X2016.53,X2016.54,X2016.55,X2016.56,X2016.57,X2016.58,X2016.59,X2016.60,X2016.61,X2016.62,X2016.63,X2016.64,X2016.65,X2016.66,X2016.67,X2016.68,X2016.69,X2016.70,X2016.71,X2016.72,X2016.73,X2016.74,X2016.75,X2016.76,X2016.77,X2016.78,X2016.79,X2016.80,X2016.81,X2016.82,X2016.83,X2016.84,X2016.85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,2013,2014,2015,2016,total,percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
특별시 및 광역시,225844,224510,215135,211325,196399,1073213,0.554831609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기도,78557,76771,75939,93797,91604,416668,0.21540978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강원도,8105,7571,6635,8284,8844,39439,0.020389246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
충청북도,9681,9663,9734,9857,9264,48199,0.024918007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
충청남도,11059,10956,10355,13001,11658,57029,0.029482956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전라북도,11332,11895,11476,12035,10235,56973,0.029454005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전라남도,7828,5169,6886,7958,7590,35431,0.018317183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상북도,13742,13596,12223,14378,13730,67669,0.034983643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도,21331,21503,19901,20184,19440,102359,0.052917742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주도,7033,8539,7561,7098,7093,37324,0.019295829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
